l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,length_m,r,x,c,i_th_max
682.0,140.0,436.0,220000.0,3.0,2.4,50.0,11605.0,0.380132,3.763456,135.2492,42.31708
683.0,136.0,436.0,220000.0,3.0,1.8,50.0,10574.0,0.46915199999999996,3.422208,122.9856,30.788940000000004
684.0,86.0,436.0,220000.0,3.0,2.4,50.0,17383.0,0.626964,5.548544,199.40079999999998,53.74044
685.0,162.0,437.0,220000.0,3.0,2.0,50.0,76723.0,3.06892,24.55136,882.3145,199.4798
686.0,137.0,437.0,220000.0,3.0,2.0,50.0,12092.0,0.48368,3.86944,139.058,31.4392
687.0,431.0,437.0,220000.0,3.0,2.0,50.0,140.0,0.0056,0.0448,1.61,0.364
688.0,102.0,439.0,220000.0,3.0,1.6,50.0,5295.0,0.30084,1.7354880000000001,62.3691,11.37396
689.0,140.0,439.0,220000.0,3.0,2.0,50.0,6850.0,0.27608,2.20864,79.37299999999999,17.945200000000003
690.0,438.0,439.0,220000.0,3.0,1.6,50.0,1686.0,0.07792800000000001,0.49702399999999997,17.861800000000002,4.25178
691.0,195.0,441.0,220000.0,3.0,1.0,50.0,9879.0,0.79032,3.16128,113.6085,12.8427
692.0,136.0,441.0,220000.0,3.0,1.0,50.0,7666.0,0.61328,2.45312,88.159,9.9658
693.0,440.0,441.0,220000.0,3.0,1.0,50.0,1719.0,0.13752,0.55008,19.7685,2.2347
694.0,440.0,441.0,220000.0,3.0,1.6,50.0,1719.0,0.077928,0.497024,17.8618,4.25178
695.0,162.0,441.0,220000.0,3.0,1.6,50.0,29538.0,1.4235599999999997,9.426943999999999,338.78080000000006,68.62518
696.0,136.0,441.0,220000.0,3.0,1.8,50.0,7656.0,0.373464,2.497088,89.7391,18.295679999999997
697.0,183.0,442.0,220000.0,3.0,2.4,50.0,21120.0,0.758684,6.751808,242.6431,65.94640000000001
698.0,150.0,442.0,220000.0,3.0,2.4,50.0,22758.0,0.819704,7.297280000000001,262.246,71.30968
699.0,175.0,442.0,220000.0,3.0,2.0,50.0,3463.0,0.127216,1.017728,36.5746,8.26904
700.0,443.0,444.0,220000.0,3.0,2.0,50.0,100.0,0.004,0.032,1.15,0.26
701.0,147.0,444.0,220000.0,3.0,2.0,50.0,12128.0,0.48512,3.88096,139.472,31.5328
702.0,146.0,444.0,220000.0,3.0,2.0,50.0,8449.0,0.33796,2.70368,97.1635,21.9674
703.0,106.0,445.0,380000.0,3.0,4.0,50.0,14875.0,0.092969,3.71875,203.7875,154.7
704.0,87.0,445.0,380000.0,3.0,4.0,50.0,42332.0,0.264575,10.583,579.9484,440.2528
705.0,162.0,445.0,380000.0,3.0,4.0,50.0,12433.0,0.077706,3.10825,170.3321,129.3032
706.0,446.0,447.0,220000.0,3.0,2.0,50.0,797.0,0.03188,0.25504,9.1655,2.0722
707.0,287.0,447.0,220000.0,3.0,2.0,50.0,33866.0,1.35464,10.83712,389.459,88.0516
708.0,2.0,447.0,220000.0,3.0,2.0,50.0,42719.0,1.70876,13.67008,491.2685,111.0694
709.0,255.0,449.0,220000.0,3.0,1.0,50.0,28123.0,2.24984,8.99936,323.4145,36.5599
710.0,448.0,449.0,220000.0,3.0,1.0,50.0,1188.0,0.09504,0.38016,13.662,1.5444
711.0,154.0,449.0,220000.0,3.0,1.0,50.0,18477.0,1.47816,5.91264,212.4855,24.0201
712.0,231.0,450.0,220000.0,3.0,1.8,50.0,7273.0,0.34790400000000005,2.2926080000000004,82.39059999999999,16.634279999999997
713.0,66.0,450.0,220000.0,3.0,2.0,50.0,20700.0,0.8271519999999999,6.617215999999999,237.80620000000005,53.764880000000005
714.0,68.0,450.0,220000.0,3.0,2.0,50.0,37803.0,1.951764,12.053632000000002,433.17740000000003,98.37672
715.0,231.0,450.0,220000.0,3.0,2.0,50.0,7273.0,0.29092,2.32736,83.6395,18.9098
716.0,66.0,450.0,220000.0,3.0,2.0,50.0,20558.0,0.82232,6.57856,236.417,53.4508
717.0,68.0,450.0,220000.0,3.0,2.0,50.0,37803.0,1.51212,12.09696,434.7345,98.2878
718.0,215.0,452.0,380000.0,3.0,4.0,50.0,13170.0,0.082313,3.2925,180.429,136.968
719.0,451.0,452.0,380000.0,3.0,4.0,50.0,60.0,0.000375,0.015,0.822,0.624
720.0,89.0,452.0,380000.0,3.0,4.0,50.0,38131.0,0.238319,9.53275,522.3947,396.5624
721.0,132.0,453.0,380000.0,3.0,4.0,50.0,4089.0,0.025556,1.02225,56.0193,42.5256
722.0,106.0,453.0,380000.0,3.0,4.0,50.0,1127.0,0.007044,0.28175,15.4399,11.7208
723.0,245.0,453.0,380000.0,3.0,4.0,50.0,243.0,0.001519,0.06075,3.3291,2.5272
724.0,220.0,455.0,220000.0,3.0,1.0,50.0,13340.0,1.0672,4.2688,153.41,17.342
